# 1-d slice in y-direction, file: plt_2d_000400
# time =       0.594868597708E-02
#                       y                  density      CH4_ConsumptionRate                   Y(CH4)               x_velocity                     temp  
       0.361328125000E-02        1.14395522501           0.289952879974E-12       0.392668083117E-01      -0.384020681500E-14        298.000000000      
       0.365234375000E-02        1.14395521955          -0.758960794975E-13       0.392668082962E-01      -0.369857301244E-14        298.000000000      
       0.369140625000E-02        1.14395521429          -0.216539707096E-12       0.392668082819E-01      -0.350283058440E-14        298.000000000      
       0.373046875000E-02        1.14395520964          -0.137945965093E-12       0.392668082687E-01      -0.330690920847E-14        298.000000000      
       0.376953125000E-02        1.14395520515           0.129307814888E-12       0.392668082565E-01      -0.309420341006E-14        298.000000000      
       0.380859375000E-02        1.14395520121          -0.127537687976E-12       0.392668082453E-01      -0.282189483153E-14        298.000000000      
       0.384765625000E-02        1.14395519740           0.396311240517E-12       0.392668082350E-01      -0.247410964768E-14        298.000000000      
       0.388671875000E-02        1.14395519410          -0.830711573155E-13       0.392668082256E-01      -0.214149689878E-14        298.000000000      
       0.392578125000E-02        1.14395519088          -0.494159517789E-12       0.392668082170E-01      -0.178708460791E-14        298.000000000      
       0.396484375000E-02        1.14395518813           0.147672456708E-13       0.392668082091E-01      -0.142121865088E-14        298.000000000      
       0.400390625000E-02        1.14395518543          -0.410330369642E-12       0.392668082019E-01      -0.101103289421E-14        298.000000000      
       0.404296875000E-02        1.14395518315           0.269406406854E-12       0.392668081953E-01      -0.629929465003E-15        298.000000000      
       0.408203125000E-02        1.14395518090          -0.228509695809E-12       0.392668081894E-01      -0.227395243901E-15        298.000000000      
       0.412109375000E-02        1.14395517904           0.566698298344E-14       0.392668081839E-01       0.186537000205E-15        298.000000000      
       0.416015625000E-02        1.14395517716           0.264271072888E-12       0.392668081790E-01       0.563661738661E-15        298.000000000      
       0.419921875000E-02        1.14395517565          -0.128480699815E-12       0.392668081746E-01       0.933194039346E-15        298.000000000      
       0.423828125000E-02        1.14395517410           0.453324934493E-12       0.392668081705E-01       0.132603093072E-14        298.000000000      
       0.427734375000E-02        1.14395517288          -0.156206373261E-12       0.392668081669E-01       0.166498842222E-14        298.000000000      
       0.431640625000E-02        1.14395517160          -0.332872894597E-12       0.392668081637E-01       0.198619624751E-14        298.000000000      
       0.435546875000E-02        1.14395517064           0.443877191151E-13       0.392668081607E-01       0.231380138833E-14        298.000000000      
       0.439453125000E-02        1.14395516958          -0.164903660712E-12       0.392668081581E-01       0.259743741735E-14        298.000000000      
       0.443359375000E-02        1.14395516883           0.238267166278E-13       0.392668081557E-01       0.284387353205E-14        298.000000000      
       0.447265625000E-02        1.14395516796          -0.167945713633E-12       0.392668081536E-01       0.305853250877E-14        298.000000000      
       0.451171875000E-02        1.14395516738           0.148422426773E-12       0.392668081517E-01       0.328290411391E-14        298.000000000      
       0.455078125000E-02        1.14395516667          -0.133200767011E-12       0.392668081500E-01       0.344906033441E-14        298.000000000      
       0.458984375000E-02        1.14395516622           0.421181891185E-12       0.392668081485E-01       0.357041922573E-14        298.000000000      
       0.462890625000E-02        1.14395516564           0.442471266012E-13       0.392668081472E-01       0.365091036754E-14        298.000000000      
       0.466796875000E-02        1.14395516531           0.132847186871E-12       0.392668081460E-01       0.374796839466E-14        298.000000000      
       0.470703125000E-02        1.14395516483           0.332642455472E-13       0.392668081449E-01       0.379921829248E-14        298.000000000      
       0.474609375000E-02        1.14395516459          -0.105231105115E-13       0.392668081440E-01       0.377749669573E-14        298.000000000      
       0.478515625000E-02        1.14395516420           0.516202676924E-12       0.392668081432E-01       0.372027401307E-14        298.000000000      
       0.482421875000E-02        1.14395516404           0.145514846739E-13       0.392668081425E-01       0.365087236522E-14        298.000000000      
       0.486328125000E-02        1.14395516371           0.509284644277E-14       0.392668081418E-01       0.352934434425E-14        298.000000000      
       0.490234375000E-02        1.14395516360          -0.970128902743E-13       0.392668081413E-01       0.335686425492E-14        298.000000000      
       0.494140625000E-02        1.14395516333          -0.421014883673E-12       0.392668081408E-01       0.311842860249E-14        298.000000000      
       0.498046875000E-02        1.14395516327          -0.445955226345E-13       0.392668081403E-01       0.284488111365E-14        298.000000000      
       0.501953125000E-02        1.14395516304          -0.225847392510E-12       0.392668081400E-01       0.253951324018E-14        298.000000000      
       0.505859375000E-02        1.14395516301          -0.134562919703E-12       0.392668081396E-01       0.220169810901E-14        298.000000000      
       0.509765625000E-02        1.14395516282          -0.365279542542E-12       0.392668081394E-01       0.185202288135E-14        298.000000000      
